,categories,themes
118,Towns,Geography and places
119,Villages,Geography and places
120,Self care,Health and fitness
121,Health promotion,Health and fitness
122,Life extension,Health and fitness
123,Prevention,Health and fitness
124,Sexual health,Health and fitness
125,Sleep,Health and fitness
126,Beauty,Health and fitness
127,Nutrition,Health and fitness
128,Dietary supplements,Health and fitness
129,Dietetics,Health and fitness
130,Nutrients,Health and fitness
131,Amino acids,Health and fitness
132,Dietary minerals,Health and fitness
133,Nootropics,Health and fitness
134,Phytochemicals,Health and fitness
135,Vitamins,Health and fitness
141,Nutritional advice pyramids,Health and fitness
142,Physical exercise,Health and fitness
143,Aerobics,Health and fitness
144,Bodyweight exercise,Health and fitness
145,Cycling,Health and fitness
146,Exercise equipment,Health and fitness
147,Exercise instructors,Health and fitness
148,Dance,Health and fitness
149,Exercise physiology,Health and fitness
150,Hiking,Health and fitness
151,Pilates,Health and fitness
152,Running,Health and fitness
153,Sports,Health and fitness
154,Swimming,Health and fitness
155,Tai chi,Health and fitness
156,Walking,Health and fitness
157,Weight training,Health and fitness
158,Weight training exercises,Health and fitness
160,Yoga,Health and fitness
161,Hygiene,Health and fitness
162,Cleaning,Health and fitness
163,Oral hygiene,Health and fitness
164,Positive psychology,Health and fitness
165,Mental health,Health and fitness
166,Psychotherapy,Health and fitness
167,Public health,Health and fitness
168,Health by country,Health and fitness
169,Healthcare,Health and fitness
170,Health law,Health and fitness
172,Health standards,Health and fitness
173,Hospitals,Health and fitness
174,Occupational safety and health,Health and fitness
175,Pharmaceutical industry,Health and fitness
176,Pharmaceuticals policy,Health and fitness
177,Safety,Health and fitness
178,Health sciences,Health and fitness
179,Clinical research,Health and fitness
180,Diseases and disorders,Health and fitness
181,Epidemiology,Health and fitness
182,Midwifery,Health and fitness
183,Nursing,Health and fitness
185,Optometry,Health and fitness
186,Pharmacy,Health and fitness
188,Medicine,Health and fitness
190,Alternative medicine,Health and fitness
191,Cardiology,Health and fitness
192,Endocrinology,Health and fitness
193,Forensics,Health and fitness
194,Gastroenterology,Health and fitness
195,Genetics,Health and fitness
196,Geriatrics,Health and fitness
197,Gerontology,Health and fitness
198,Gynecology,Health and fitness
199,Hematology,Health and fitness
200,Nephrology,Health and fitness
201,Neurology,Health and fitness
202,Obstetrics,Health and fitness
203,Oncology,Health and fitness
204,Ophthalmology,Health and fitness
205,Orthopedic surgical procedures,Health and fitness
206,Pathology,Health and fitness
207,Pediatrics,Health and fitness
208,Psychiatry,Health and fitness
209,Rheumatology,Health and fitness
210,Surgery,Health and fitness
211,Urology,Health and fitness
212,Dentistry,Health and fitness
214,Orthodontics,Health and fitness
215,Veterinary medicine,Health and fitness
216,History by period,History and events
217,History by topic,History and events
218,History of science,History and events
219,History of religion,History and events
222,Historiography,History and events
223,Timelines,History and events
224,History by location,History and events
225,History by continent,History and events
226,History of Africa,History and events
227,History of Asia,History and events
228,History of Europe,History and events
229,History of the Americas,History and events
230,History by region,History and events
231,History of North America,History and events
232,History of South America,History and events
233,History of Central Europe,History and events
234,History of the Middle East,History and events
235,History of Oceania,History and events
236,History by country,History and events
237,History by city,History and events
238,Empires,History and events
239,Human activities,Human activities
240,Activism,Human activities
241,Agriculture,Human activities
242,Arts,Human activities
243,Aviation,Human activities
244,Commemoration,Human activities
245,Communication,Human activities
246,Crime,Human activities
247,Design,Human activities
248,Education,Human activities
249,Entertainment,Human activities
250,Fictional activities,Human activities
251,Fishing,Human activities
252,Food and drink preparation,Human activities
253,Government,Human activities
254,Hunting,Human activities
255,Industry,Human activities
256,Leisure activities,Human activities
257,Navigation,Human activities
258,Observation,Human activities
259,Performing arts,Human activities
260,Physical exercise,Human activities
261,Planning,Human activities
262,Politics,Human activities
263,Recreation,Human activities
264,Religion,Human activities
265,Human spaceflight,Human activities
266,Sports,Human activities
267,Trade,Human activities
268,Transport,Human activities
269,Travel,Human activities
270,Underwater human activities,Human activities
271,Underwater diving,Human activities
272,War,Human activities
273,Work,Human activities
274,Human impact on the environment,Human activities
275,Climate change,Human activities
276,Conservation,Human activities
277,Deforestation,Human activities
278,Environmentalism,Human activities
279,Global warming,Human activities
280,Pollution,Human activities
281,Human overpopulation,Human activities
282,Urbanization,Human activities
283,Wikipedia semi-protected portals,Intro
284,Mathematics,Mathematics and logic
285,Mathematics education,Mathematics and logic
286,Equations,Mathematics and logic
287,Heuristics,Mathematics and logic
288,Measurement,Mathematics and logic
289,Numbers,Mathematics and logic
290,Mathematical proofs,Mathematics and logic
291,Theorems,Mathematics and logic
292,Fields of mathematics,Mathematics and logic
293,Arithmetic,Mathematics and logic
294,Algebra,Mathematics and logic
295,Geometry,Mathematics and logic
296,Trigonometry,Mathematics and logic
297,Mathematical analysis,Mathematics and logic
298,Calculus,Mathematics and logic
299,Logic,Mathematics and logic
300,Deductive reasoning,Mathematics and logic
301,Inductive reasoning,Mathematics and logic
302,History of logic,Mathematics and logic
303,Fallacies,Mathematics and logic
304,Metalogic,Mathematics and logic
305,Philosophy of logic,Mathematics and logic
306,Mathematical sciences,Mathematics and logic
307,Computational science,Mathematics and logic
308,Operations research,Mathematics and logic
309,Theoretical physics,Mathematics and logic
310,Statistics,Mathematics and logic
311,Analysis of variance,Mathematics and logic
312,Bayesian statistics,Mathematics and logic
313,Categorical data,Mathematics and logic
314,Covariance and correlation,Mathematics and logic
315,Data analysis,Mathematics and logic
316,Decision theory,Mathematics and logic
317,Design of experiments,Mathematics and logic
318,Logic and statistics,Mathematics and logic
319,Multivariate statistics,Mathematics and logic
320,Non-parametric statistics,Mathematics and logic
321,Parametric statistics,Mathematics and logic
322,Regression analysis,Mathematics and logic
323,Sampling (statistics),Mathematics and logic
324,Statistical theory,Mathematics and logic
325,Stochastic processes,Mathematics and logic
326,Summary statistics,Mathematics and logic
327,Survival analysis,Mathematics and logic
328,Time series,Mathematics and logic
329,Biology,Natural and physical sciences
330,Botany,Natural and physical sciences
331,Ecology,Natural and physical sciences
332,Health sciences,Natural and physical sciences
333,Medicine,Natural and physical sciences
334,Neuroscience,Natural and physical sciences
335,Zoology,Natural and physical sciences
336,Earth sciences,Natural and physical sciences
337,Atmospheric sciences,Natural and physical sciences
338,Geography,Natural and physical sciences
339,Geology,Natural and physical sciences
340,Geophysics,Natural and physical sciences
341,Oceanography,Natural and physical sciences
342,Nature,Natural and physical sciences
343,Animals,Natural and physical sciences
344,Natural environment,Natural and physical sciences
345,Humans,Natural and physical sciences
346,Life,Natural and physical sciences
347,Natural resources,Natural and physical sciences
348,Plants,Natural and physical sciences
349,Pollution,Natural and physical sciences
350,Physical sciences,Natural and physical sciences
351,Astronomy,Natural and physical sciences
352,Chemistry,Natural and physical sciences
353,Climate,Natural and physical sciences
354,Physics,Natural and physical sciences
355,Space,Natural and physical sciences
356,Universe,Natural and physical sciences
357,Scientific method,Natural and physical sciences
358,Scientists,Natural and physical sciences
359,People,People and self
360,Beginners and newcomers,People and self
361,Children,People and self
362,Heads of state,People and self
363,Humans,People and self
364,People by legal status,People and self
365,Men,People and self
366,Old age,People and self
367,Political people,People and self
368,Rivalry,People and self
369,Social groups,People and self
370,Subcultures,People and self
371,Women,People and self
372,People by city,People and self
373,People by company,People and self
374,People by continent,People and self
375,People by educational institution,People and self
376,People by ethnicity,People and self
377,People by ethnic or national descent,People and self
378,People by ethnic or national origin,People and self
381,People by medical or psychological condition,People and self
382,People by nationality,People and self
383,People by occupation,People and self
384,People by political orientation,People and self
385,People by religion,People and self
386,People by revolution,People and self
387,People by status,People and self
388,Births by year,People and self
389,Deaths by year,People and self
390,Lists of people,People and self
391,Personal timelines,People and self
392,Activists,People and self
393,Actors,People and self
394,Astronauts,People and self
395,Billionaires,People and self
396,Chief executive officers,People and self
397,Composers,People and self
398,Cyborgs,People and self
399,Defectors,People and self
400,Generals,People and self
401,Humanitarians,People and self
402,Innovators,People and self
403,Inventors,People and self
404,LGBT people,People and self
405,Monarchs,People and self
406,Musicians,People and self
407,Musical groups,People and self
408,Philosophers,People and self
409,Photographers,People and self
410,Politicians,People and self
411,Presidents,People and self
412,Princes,People and self
413,Princesses,People and self
414,Revolutionaries,People and self
415,Scientists,People and self
416,Settlers,People and self
417,Singers,People and self
418,Slaves,People and self
419,Victims,People and self
420,People associated with war,People and self
421,Writers,People and self
422,Self,People and self
423,Alter egos,People and self
424,Consciousness studies,People and self
425,Gender,People and self
426,Personality,People and self
427,Human sexuality,People and self
428,Sexual orientation,People and self
429,Personal life,People and self
430,Clothing,People and self
431,Employment,People and self
432,Entertainment,People and self
433,Food and drink,People and self
434,Games,People and self
435,Health,People and self
436,Hobbies,People and self
437,Home,People and self
438,Income,People and self
439,Interpersonal relationships,People and self
440,Leisure,People and self
441,Love,People and self
442,Motivation,People and self
443,Personal development,People and self
444,Pets,People and self
445,Philosophy,Philosophy and thinking
446,Branches of philosophy,Philosophy and thinking
447,Philosophical schools and traditions,Philosophy and thinking
448,Philosophical movements,Philosophy and thinking
449,Philosophical concepts,Philosophy and thinking
450,Philosophical theories,Philosophy and thinking
451,Philosophical arguments,Philosophy and thinking
452,Philosophers,Philosophy and thinking
453,Philosophical literature,Philosophy and thinking
454,History of philosophy,Philosophy and thinking
455,Philosophy by period,Philosophy and thinking
456,Philosophy by region,Philosophy and thinking
457,Aesthetics,Philosophy and thinking
458,Epistemology,Philosophy and thinking
459,Ethics,Philosophy and thinking
460,Logic,Philosophy and thinking
461,Metaphysics,Philosophy and thinking
462,Social philosophy,Philosophy and thinking
463,Thought,Philosophy and thinking
464,Attention,Philosophy and thinking
465,Cognition,Philosophy and thinking
466,Cognitive biases,Philosophy and thinking
467,Creativity,Philosophy and thinking
468,Decision theory,Philosophy and thinking
469,Emotion,Philosophy and thinking
470,Error,Philosophy and thinking
471,Imagination,Philosophy and thinking
472,Intelligence,Philosophy and thinking
473,Intelligence researchers,Philosophy and thinking
475,Learning,Philosophy and thinking
476,Memory,Philosophy and thinking
477,Memory biases,Philosophy and thinking
478,Mnemonics,Philosophy and thinking
481,Nootropics,Philosophy and thinking
482,Strategic management,Philosophy and thinking
483,Perception,Philosophy and thinking
484,Problem solving,Philosophy and thinking
485,Psychological adjustment,Philosophy and thinking
486,Psychometrics,Philosophy and thinking
487,Contents,Reference
488,Reference works,Reference
489,Almanacs,Reference
490,Atlases,Reference
491,Biographical dictionaries,Reference
492,Dictionaries,Reference
493,Online dictionaries,Reference
495,Directories,Reference
496,Web directories,Reference
498,Encyclopedias,Reference
499,Online encyclopedias,Reference
501,Glossaries,Reference
502,Handbooks and manuals,Reference
503,Lists,Reference
504,Medical manuals,Reference
505,Reference book stubs,Reference
506,Reference works in the public domain,Reference
507,Style guides,Reference
508,Trivia books,Reference
509,Websites,Reference
510,Academic disciplines,Reference
511,Archives,Reference
512,Books,Reference
513,Clients (computing),Reference
514,Curricula,Reference
515,Databases,Reference
516,Online databases,Reference
518,Distance education,Reference
519,Grammar,Reference
520,Government agencies,Reference
521,Indexes,Reference
522,Information,Reference
523,Knowledge,Reference
524,Libraries,Reference
525,Digital libraries,Reference
527,Library cataloging and classification,Reference
528,News agencies,Reference
529,Periodic table,Reference
530,Prefixes,Reference
531,Reading (process),Reference
532,Research,Reference
533,Internet search engines,Reference
534,Suffixes,Reference
535,Universities and colleges,Reference
536,Writing,Reference
537,Allah,Religion and belief systems
538,Bible,Religion and belief systems
539,Buddhas,Religion and belief systems
540,Deities,Religion and belief systems
541,Demons,Religion and belief systems
542,Exorcism,Religion and belief systems
543,God,Religion and belief systems
544,Jesus,Religion and belief systems
545,Mythology,Religion and belief systems
546,Occult,Religion and belief systems
547,Prayer,Religion and belief systems
548,Prophecy,Religion and belief systems
549,Quran,Religion and belief systems
550,Religious ethics,Religion and belief systems
551,Religious law,Religion and belief systems
552,Ritual,Religion and belief systems
553,Spirituality,Religion and belief systems
554,Theology,Religion and belief systems
555,"Religious faiths, traditions, and movements",Religion and belief systems
556,Agnosticism,Religion and belief systems
557,Animism,Religion and belief systems
558,Atheism,Religion and belief systems
559,Deism,Religion and belief systems
560,Determinism,Religion and belief systems
561,Esotericism,Religion and belief systems
562,Gnosticism,Religion and belief systems
563,Humanism,Religion and belief systems
564,Monism,Religion and belief systems
565,Monotheism,Religion and belief systems
566,Mysticism,Religion and belief systems
567,New Age,Religion and belief systems
568,Paganism,Religion and belief systems
569,Pantheism,Religion and belief systems
570,Polytheism,Religion and belief systems
571,Shamanism,Religion and belief systems
572,Skepticism,Religion and belief systems
573,Spiritualism,Religion and belief systems
574,Theosophy,Religion and belief systems
575,Transcendentalism,Religion and belief systems
576,Unitarianism,Religion and belief systems
579,Ayyavazhi,Religion and belief systems
580,Bah%C3%A1%27%C3%AD Faith,Religion and belief systems
581,Buddhism,Religion and belief systems
582,Caodaism,Religion and belief systems
583,Chinese folk religion,Religion and belief systems
584,Christianity,Religion and belief systems
585,Confucianism,Religion and belief systems
586,Druidry,Religion and belief systems
587,Falun Gong,Religion and belief systems
588,Hinduism,Religion and belief systems
589,Islam,Religion and belief systems
590,Jainism,Religion and belief systems
591,Judaism,Religion and belief systems
592,Mormonism,Religion and belief systems
593,Neo-druidism,Religion and belief systems
594,Neopaganism,Religion and belief systems
595,Rastafarianism,Religion and belief systems
596,Satanism,Religion and belief systems
597,Scientology,Religion and belief systems
598,Shinto,Religion and belief systems
599,Sikhism,Religion and belief systems
600,Spiritism,Religion and belief systems
601,Taoism,Religion and belief systems
602,Tenrikyo,Religion and belief systems
603,Unitarian Universalism,Religion and belief systems
604,Wicca,Religion and belief systems
605,Zoroastrianism,Religion and belief systems
607,Mythology by culture,Religion and belief systems
608,Buddhist mythology,Religion and belief systems
609,Christian mythology,Religion and belief systems
610,Hindu mythology,Religion and belief systems
611,Islamic mythology,Religion and belief systems
612,Jewish mythology,Religion and belief systems
613,Criticism of religion,Religion and belief systems
614,Society,Society and social sciences
615,Activism,Society and social sciences
616,Business,Society and social sciences
617,Communication,Society and social sciences
618,Crime,Society and social sciences
619,Education,Society and social sciences
620,Ethnic groups,Society and social sciences
621,Family,Society and social sciences
622,Finance,Society and social sciences
623,Globalization,Society and social sciences
624,Government,Society and social sciences
625,Health,Society and social sciences
626,Home,Society and social sciences
627,Industries,Society and social sciences
628,Infrastructure,Society and social sciences
629,Law,Society and social sciences
630,Mass media,Society and social sciences
631,Military,Society and social sciences
632,Money,Society and social sciences
633,Organizations,Society and social sciences
634,Peace,Society and social sciences
635,Politics,Society and social sciences
636,Real estate,Society and social sciences
637,Rights,Society and social sciences
638,War,Society and social sciences
639,Social sciences,Society and social sciences
640,Anthropology,Society and social sciences
641,Archaeology,Society and social sciences
642,Cultural studies,Society and social sciences
643,Demographics,Society and social sciences
644,Economics,Society and social sciences
645,Information science,Society and social sciences
646,International relations,Society and social sciences
647,Linguistics,Society and social sciences
648,Media studies,Society and social sciences
649,Political science,Society and social sciences
650,Psychology,Society and social sciences
651,Public administration,Society and social sciences
652,Sexology,Society and social sciences
653,Social scientists,Society and social sciences
654,Sociology,Society and social sciences
655,Social work,Society and social sciences
656,Systems theory,Society and social sciences
657,Agriculture,Technology and applied sciences
658,Agronomy,Technology and applied sciences
659,Architecture,Technology and applied sciences
660,Automation,Technology and applied sciences
661,Biotechnology,Technology and applied sciences
662,Cartography,Technology and applied sciences
663,Chemical engineering,Technology and applied sciences
664,Communication,Technology and applied sciences
665,Media studies,Technology and applied sciences
666,Telecommunications,Technology and applied sciences
669,Construction,Technology and applied sciences
670,Control theory,Technology and applied sciences
671,Design,Technology and applied sciences
672,Digital divide,Technology and applied sciences
673,Earthquake engineering,Technology and applied sciences
674,Energy,Technology and applied sciences
675,Ergonomics,Technology and applied sciences
676,Firefighting,Technology and applied sciences
677,Fire prevention,Technology and applied sciences
678,Forensics,Technology and applied sciences
679,Forestry,Technology and applied sciences
680,Industry,Technology and applied sciences
681,Information science,Technology and applied sciences
682,Internet,Technology and applied sciences
683,Management,Technology and applied sciences
684,Manufacturing,Technology and applied sciences
685,Marketing,Technology and applied sciences
686,Medicine,Technology and applied sciences
687,Unsolved problems in neuroscience,Technology and applied sciences
689,Metalworking,Technology and applied sciences
690,Microtechnology,Technology and applied sciences
691,Military science,Technology and applied sciences
692,Mining,Technology and applied sciences
693,Nanotechnology,Technology and applied sciences
694,Nuclear technology,Technology and applied sciences
695,Optics,Technology and applied sciences
696,Plumbing,Technology and applied sciences
697,Robotics,Technology and applied sciences
698,Sound technology,Technology and applied sciences
699,Technology forecasting,Technology and applied sciences
700,Tools,Technology and applied sciences
701,Computing,Technology and applied sciences
702,Artificial intelligence,Technology and applied sciences
703,Classes of computers,Technology and applied sciences
704,Computing by company,Technology and applied sciences
705,Computer architecture,Technology and applied sciences
706,Computing by computer model,Technology and applied sciences
707,Computer engineering,Technology and applied sciences
708,Computer science,Technology and applied sciences
709,Computer security,Technology and applied sciences
710,Computing and society,Technology and applied sciences
711,Computer data,Technology and applied sciences
712,Embedded systems,Technology and applied sciences
713,Free software,Technology and applied sciences
714,Human%E2%80%93computer interaction,Technology and applied sciences
715,Information systems,Technology and applied sciences
716,Information technology,Technology and applied sciences
718,Mobile Web,Technology and applied sciences
719,Computer languages,Technology and applied sciences
720,Multimedia,Technology and applied sciences
721,Computer networks,Technology and applied sciences
722,Operating systems,Technology and applied sciences
723,Computing platforms,Technology and applied sciences
724,Product lifecycle management,Technology and applied sciences
725,Computer programming,Technology and applied sciences
726,Real-time computing,Technology and applied sciences
727,Software,Technology and applied sciences
728,Software engineering,Technology and applied sciences
729,Unsolved problems in computer science,Technology and applied sciences
730,Electronics,Technology and applied sciences
731,Avionics,Technology and applied sciences
732,Electronic circuits,Technology and applied sciences
733,Electronics companies,Technology and applied sciences
734,Electrical connectors,Technology and applied sciences
735,Consumer electronics,Technology and applied sciences
736,Digital electronics,Technology and applied sciences
737,Digital media,Technology and applied sciences
738,Electrical components,Technology and applied sciences
739,Electronic design,Technology and applied sciences
740,Electronics manufacturing,Technology and applied sciences
742,Integrated circuits,Technology and applied sciences
743,Microwave technology,Technology and applied sciences
744,Molecular electronics,Technology and applied sciences
745,Water technology,Technology and applied sciences
746,Optoelectronics,Technology and applied sciences
747,Quantum electronics,Technology and applied sciences
748,Radio-frequency identification,Technology and applied sciences
749,Radio electronics,Technology and applied sciences
750,Semiconductors,Technology and applied sciences
751,Signal cables,Technology and applied sciences
752,Surveillance,Technology and applied sciences
754,Engineering,Technology and applied sciences
755,Aerospace engineering,Technology and applied sciences
756,Bioengineering,Technology and applied sciences
758,Civil engineering,Technology and applied sciences
759,Electrical engineering,Technology and applied sciences
760,Environmental engineering,Technology and applied sciences
761,Materials science,Technology and applied sciences
762,Mechanical engineering,Technology and applied sciences
765,Structural engineering,Technology and applied sciences
766,Systems engineering,Technology and applied sciences
767,Transport,Technology and applied sciences
768,Transport by country,Technology and applied sciences
769,Automobiles,Technology and applied sciences
770,Aviation,Technology and applied sciences
771,Cycling,Technology and applied sciences
772,Public transport,Technology and applied sciences
773,Rail transport,Technology and applied sciences
774,Road transport,Technology and applied sciences
775,Shipping,Technology and applied sciences
776,Spaceflight,Technology and applied sciences
777,Vehicles,Technology and applied sciences
778,Water transport,Technology and applied sciences
779,Technology timelines,Technology and applied sciences
